,lat,distance,name,id,type,providerId,firstName,lastName,specialties,hospitalAffiliations,addressState,geom.crs.type,geom.crs.properties.name,geom.type,geom.coordinates,nursingHome.averageNumberOfResidentsInCertifiedBedsFootnotes,nursingHome.overallRatingFootnotes,nursingHome.healthInspectionRatingFootnotes,nursingHome.qmRatingFootnotes,nursingHome.staffingRatingFootnotes,nursingHome.longStayQMRatingFootnotes,nursingHome.shortStayQMRatingFootnotes,nursingHome.rnStaffingRatingFootnotes,nursingHome.ptStaffingFootnotes,nursingHome.dateImported,nursingHome.hash,nursingHome.id,nursingHome.providerId,nursingHome.addressLine1,nursingHome.addressCity,nursingHome.addressState,nursingHome.addressZipcode,nursingHome.phone,nursingHome.geocodeSource,nursingHome.lon,nursingHome.lat,nursingHome.name,nursingHome.ownershipType,nursingHome.numberOfCertifiedBeds,nursingHome.specialFocusStatus,nursingHome.processingDate,nursingHome.averageNumberOfResidentsInCertifiedBedsFootnote,nursingHome.nursingHomeType,nursingHome.providerResidesInHospital,nursingHome.legalBusinessName,nursingHome.continuingCareRetirementCommunity,nursingHome.withResidentAndFamilyCouncil,nursingHome.sprinklerSystemsInAllRequiredAreas,nursingHome.overallRating,nursingHome.overallRatingFootnote,nursingHome.healthInspectionRating,nursingHome.healthInspectionRatingFootnote,nursingHome.qmRating,nursingHome.qmRatingFootnote,nursingHome.staffingRating,nursingHome.staffingRatingFootnote,nursingHome.rnStaffingRating,nursingHome.numberOfFacilityReportedIncidents,nursingHome.numberOfSubstantiatedComplaints,nursingHome.numberOfCitationsFromInfectionControlInspections,nursingHome.numberOfFines,nursingHome.numberOfPaymentDenials,nursingHome.citedForAbuse,nursingHome.longStayQMRating,nursingHome.shortStayQMRating,nursingHome.longStayQMRatingFootnote,nursingHome.shortStayQMRatingFootnote,nursingHome.rnStaffingRatingFootnote,nursingHome.ptStaffingFootnote,nursingHome.ratingCycleOneStandardHealthSurveyDate,nursingHome.ratingCycleOneTotalHealthDeficiencies,nursingHome.ratingCycleTwoStandardHealthSurveyDate,nursingHome.ratingCycleTwoTotalHealthDeficiencies,nursingHome.ratingCycleThreeStandardHealthSurveyDate,nursingHome.ratingCycleThreeTotalHealthDeficiencies,nursingHome.changedOwnershipInLast12Months
0,30.6532,2.303,Legacy Nursing and Rehabilitation,e95994b1-ed11-4ab7-b60c-6f1f6bf87c94,NursingHome,455351,,,,,TX,name,EPSG:4326,Point,"[-96.34456, 30.6532]",,,,,,,,,,2021-09-20T15:22:59.972Z,cf1c5884fd5f64f0bb2ef233d57e2006,e95994b1-ed11-4ab7-b60c-6f1f6bf87c94,455351,2817 Kent Street,Bryan,TX,77802,9797767521,smartystreets_strict,-96.34456,30.6532,Legacy Nursing and Rehabilitation,For profit - Limited Liability company,117,,2021-09-01,,Medicare and Medicaid,False,Bryan Opco LLC,False,Resident,Yes,1,,2.0,,2.0,,1.0,,1.0,2,4,1,0,0,False,2.0,3.0,,,,,2020-03-12,9.0,2019-03-21,7.0,2018-03-07,1.0,False
1,30.65846,2.723,St Joseph Manor,2cdbf318-c39e-49ac-9ce3-55dcc7500886,NursingHome,675887,,,,,TX,name,EPSG:4326,Point,"[-96.35059, 30.65846]",,,,,,,,,,2021-09-20T15:23:03.287Z,c6371df09523aebd12c8e204555418cb,2cdbf318-c39e-49ac-9ce3-55dcc7500886,675887,2333 Manor Dr,Bryan,TX,77802,9798217330,smartystreets_strict,-96.35059,30.65846,St Joseph Manor,Government - Hospital district,60,,2021-09-01,,Medicare and Medicaid,False,Burleson County Hospital District,True,Resident,Yes,5,,5.0,,5.0,,4.0,,4.0,0,0,0,0,0,False,5.0,4.0,,,,,2019-04-03,2.0,2018-03-28,2.0,2017-03-08,1.0,False
2,30.65779,2.766,Lampstand Nursing and Rehabilitation,934bfd8a-e184-4023-a709-fd15804cfbed,NursingHome,676019,,,,,TX,name,EPSG:4326,Point,"[-96.35569, 30.65779]",,,,,,,,,,2021-09-20T15:23:03.410Z,010f5fac162821648e1ceca8f5fcd27a,934bfd8a-e184-4023-a709-fd15804cfbed,676019,2001 E 29th St,Bryan,TX,77802,9798226611,smartystreets_strict,-96.35569,30.65779,Lampstand Nursing and Rehabilitation,For profit - Corporation,140,,2021-09-01,,Medicare and Medicaid,False,"College Station II Enterprises, LLC",False,Both,Yes,1,,1.0,,1.0,,1.0,,1.0,1,7,6,1,0,True,1.0,2.0,,,,,2019-11-20,3.0,2018-11-14,16.0,2017-11-18,11.0,False
3,30.66016,2.804,Crestview Retirement Community,77febe6f-53dd-40b3-9047-f4b3562e92fc,NursingHome,675979,,,,,TX,name,EPSG:4326,Point,"[-96.34768, 30.66016]",,,,,,,,,,2021-09-20T15:23:03.377Z,acd0774060192823b13eded5821d8ccd,77febe6f-53dd-40b3-9047-f4b3562e92fc,675979,2505 E Villa Maria Rd,Bryan,TX,77802,9797764778,smartystreets_strict,-96.34768,30.66016,Crestview Retirement Community,Non profit - Corporation,48,,2021-09-01,,Medicare and Medicaid,False,Mrc Crestview,True,None,Yes,5,,4.0,,2.0,,5.0,,5.0,0,0,0,0,0,False,2.0,3.0,,,,,2020-02-05,7.0,2019-02-13,4.0,2018-02-14,3.0,False
4,30.61912,3.48,Accel at College Station,05d9a8e1-978d-4e29-85d6-4b27a5fb5496,NursingHome,676437,,,,,TX,name,EPSG:4326,Point,"[-96.28159, 30.61912]",,,,,,,,,,2021-09-20T15:23:03.900Z,cc31cc92b08050b266949b52cf69720f,05d9a8e1-978d-4e29-85d6-4b27a5fb5496,676437,1500 Medical Avenue,College Station,TX,77845,9792721000,smartystreets_strict,-96.28159,30.61912,Accel at College Station,For profit - Limited Liability company,116,,2021-09-01,,Medicare and Medicaid,False,Winnie-Stowell Hospital District,False,Both,Yes,3,,3.0,,3.0,,3.0,,1.0,0,7,2,1,0,False,3.0,3.0,,,,,2019-12-06,5.0,2018-11-28,4.0,2017-11-16,6.0,False
5,30.57955,3.688,Fortress Nursing and Rehabilitation,16b22c2d-9fa0-4ae2-9bce-2241f2f2fa06,NursingHome,455589,,,,,TX,name,EPSG:4326,Point,"[-96.29945, 30.57955]",,,,,,,,,,2021-09-20T15:23:00.050Z,b4fcb72e11394f3727175fa99eea94d2,16b22c2d-9fa0-4ae2-9bce-2241f2f2fa06,455589,1105 Rock Prairie Rd,College Station,TX,77845,9796942200,smartystreets_strict,-96.29945,30.57955,Fortress Nursing and Rehabilitation,For profit - Corporation,52,,2021-09-01,,Medicare and Medicaid,False,"College Station I Enterprises, LLC",False,Resident,Yes,1,,2.0,,1.0,,1.0,,1.0,0,6,1,2,0,False,1.0,2.0,,,,,2019-06-12,5.0,2018-05-23,7.0,2017-05-25,8.0,False
6,30.54314,21.318,Burleson St Joseph Manor,dbf2d2f9-7da7-4f11-bd71-439d1cbf1df1,NursingHome,675885,,,,,TX,name,EPSG:4326,Point,"[-96.68647, 30.54314]",,,,,,,,,,2021-09-20T15:23:03.286Z,b4c75b5e43a7748da48a30ec5e2956ef,dbf2d2f9-7da7-4f11-bd71-439d1cbf1df1,675885,1022 Presidential Corridor Hwy 21 E,Caldwell,TX,77836,9795670920,smartystreets_strict,-96.68647,30.54314,Burleson St Joseph Manor,Non profit - Corporation,85,,2021-09-01,,Medicare and Medicaid,False,Burleson County Hospital District,False,Both,Yes,3,,3.0,,3.0,,2.0,,2.0,0,2,2,1,0,False,3.0,3.0,,,,,2019-05-30,7.0,2018-05-10,7.0,2017-05-05,2.0,False
7,30.39562,21.999,Navasota Nursing & Rehabilitation,e6dd3f98-dd30-4922-87db-eb06c55f8229,NursingHome,675399,,,,,TX,name,EPSG:4326,Point,"[-96.07756, 30.39562]",,,,,"[{'code': 12, 'footnote': 'This facility either did not submit staffing data, has reported a high number of days without a registered nurse onsite, or submitted data that could not be verified through an audit.'}]",,,"[{'code': 12, 'footnote': 'This facility either did not submit staffing data, has reported a high number of days without a registered nurse onsite, or submitted data that could not be verified through an audit.'}]",,2021-09-20T15:23:02.943Z,115fd64becbe4169ce11a1de48561d8c,e6dd3f98-dd30-4922-87db-eb06c55f8229,675399,1405 E Washington,Navasota,TX,77868,9368256463,smartystreets_strict,-96.07756,30.39562,Navasota Nursing & Rehabilitation,For profit - Limited Liability company,172,,2021-09-01,,Medicare and Medicaid,False,Navasota I Enterprises LLC,False,Resident,Yes,1,,2.0,,1.0,,1.0,12,1.0,1,1,1,2,0,False,1.0,1.0,,,12,,2019-09-19,5.0,2018-09-12,4.0,2017-08-23,4.0,False
8,30.86461,22.623,Crossroads Nursing & Rehabilitation,6f688924-c491-44f1-a28f-ad949931d78e,NursingHome,676385,,,,,TX,name,EPSG:4326,Point,"[-96.59369, 30.86461]",,,,,,,,,,2021-09-20T15:23:03.801Z,f9165ce2c04fa6ac4d16279c6f75fb78,6f688924-c491-44f1-a28f-ad949931d78e,676385,611 Rose Marie Blvd,Hearne,TX,77859,9792800440,smartystreets_strict,-96.59369,30.86461,Crossroads Nursing & Rehabilitation,For profit - Corporation,80,,2021-09-01,,Medicare and Medicaid,False,Hearne I Enterprises LLC,False,Resident,Yes,1,,3.0,,1.0,,1.0,,1.0,0,0,0,0,0,False,2.0,1.0,,,,,2019-10-02,7.0,2018-09-20,8.0,2017-09-26,4.0,False
9,30.54389,22.722,Copperas Hollow Nursing & Rehabilitation Center,5e06d3ae-e2a8-4f3a-bcf7-278f32bde368,NursingHome,676227,,,,,TX,name,EPSG:4326,Point,"[-96.71095, 30.54389]",,,,,"[{'code': 12, 'footnote': 'This facility either did not submit staffing data, has reported a high number of days without a registered nurse onsite, or submitted data that could not be verified through an audit.'}]",,,"[{'code': 12, 'footnote': 'This facility either did not submit staffing data, has reported a high number of days without a registered nurse onsite, or submitted data that could not be verified through an audit.'}]",,2021-09-20T15:23:03.624Z,8d0c0433373281286c829113727c56b0,5e06d3ae-e2a8-4f3a-bcf7-278f32bde368,676227,345 Country Club Dr,Caldwell,TX,77836,9795674300,smartystreets_strict,-96.71095,30.54389,Copperas Hollow Nursing & Rehabilitation Center,For profit - Limited Liability company,39,SFF Candidate,2021-09-01,,Medicare and Medicaid,False,Coryell County Memorial Hospital Authority,False,Resident,Yes,1,,1.0,,2.0,,1.0,12,1.0,4,18,8,2,1,True,1.0,5.0,,,12,,2021-05-04,13.0,2019-07-31,9.0,2018-06-07,15.0,False
