,distance,name,nursingHome.addressLine1,nursingHome.addressCity,nursingHome.addressState,nursingHome.addressZipcode,nursingHome.phone,nursingHome.overallRating
0,1.84,Legacy Nursing and Rehabilitation,2817 Kent Street,Bryan,TX,77802,9797767521,1
1,2.311,St Joseph Manor,2333 Manor Dr,Bryan,TX,77802,9798217330,5
2,2.354,Crestview Retirement Community,2505 E Villa Maria Rd,Bryan,TX,77802,9797764778,5
3,2.414,Lampstand Nursing and Rehabilitation,2001 E 29th St,Bryan,TX,77802,9798226611,1
4,3.205,Accel at College Station,1500 Medical Avenue,College Station,TX,77845,9792721000,3
5,3.933,Fortress Nursing and Rehabilitation,1105 Rock Prairie Rd,College Station,TX,77845,9796942200,1
6,21.781,Burleson St Joseph Manor,1022 Presidential Corridor Hwy 21 E,Caldwell,TX,77836,9795670920,3
7,22.156,Navasota Nursing & Rehabilitation,1405 E Washington,Navasota,TX,77868,9368256463,1
8,22.444,Crossroads Nursing & Rehabilitation,611 Rose Marie Blvd,Hearne,TX,77859,9792800440,1
9,23.177,Copperas Hollow Nursing & Rehabilitation Center,345 Country Club Dr,Caldwell,TX,77836,9795674300,1
10,24.296,Golden Creek Healthcare and Rehabilitation Center,2100 Dover Crossing Lane,Navasota,TX,77868,9368254043,1
11,29.155,Franklin Nursing Home,700 Hearne St,Franklin,TX,77856,9798285152,5
12,31.133,Brenham Nursing and Rehabilitation Center,400 E Sayles St,Brenham,TX,77833,9798369770,
13,31.25,High Hope Care Center of Brenham,401 East Blue Bell Road,Brenham,TX,77833,9798366611,2
14,32.768,Kruse Village Senior Living Community,1700 E Stone St,Brenham,TX,77833,9798301996,1
15,33.471,Focused Care at Brenham,1303 Hwy 290 E,Brenham,TX,77833,9798307100,2
16,33.578,Riverwood Healthcare,600 Bacon Street,Madisonville,TX,77864,9363489097,2
17,33.681,Madisonville Care Center,411 E Collard,Madisonville,TX,77864,9363482735,1
18,40.705,Renaissance Villa,1350 W. Highway 79,Rockdale,TX,76567,5124462548,1
19,41.42,Legacy Nursing and Rehabilitation,2202 N Travis Ave,Cameron,TX,76520,2546976564,2
20,41.935,Winnie L Ltc Partners Inc,2104 N Karnes,Cameron,TX,76520,2546974985,1
21,42.313,Bremond Nursing and Rehabilitation Center,211 N Main,Bremond,TX,76629,2547467666,3
22,45.524,Mrc Creekside,1433 Veterans Memorial Parkway,Huntsville,TX,77340,9364394700,4
23,46.14,Briarwood Manor Care Center,1515 W Main,Bellville,TX,77418,9798653145,4
24,46.694,Oakland Manor Nursing Center,1400 N Main St,Giddings,TX,78942,9795421755,1
25,46.84,Focused Care at Huntsville,1302 Nottingham St,Huntsville,TX,77340,9362956313,2
26,46.612,Colonial Belle Nursing Home,106 N Baron,Bellville,TX,77418,9798653689,1
27,46.8,Giddings Residence and Rehabilitation Center,1181 N Williamson,Giddings,TX,78942,9795423611,3
28,47.499,Huntsville Health Care Center,2628 Milam,Huntsville,TX,77340,9362938062,1
29,48.017,Centerville Healthcare Center,103 Teakwood St,Centerville,TX,75833,9035362596,3
30,48.644,Heritage House Nursing and Rehabilitation,407 N College St,Rosebud,TX,76570,2545837904,3
